Activity ID,Activity Date,Activity Name,Activity Type,Activity Description,Elapsed Time,Distance,Max Heart Rate,Relative Effort,Commute,Activity Private Note,Activity Gear,Filename,Athlete Weight,Bike Weight,Elapsed Time,Moving Time,Distance,Max Speed,Average Speed,Elevation Gain,Elevation Loss,Elevation Low,Elevation High,Max Grade,Average Grade,Average Positive Grade,Average Negative Grade,Max Cadence,Average Cadence,Max Heart Rate,Average Heart Rate,Max Watts,Average Watts,Calories,Max Temperature,Average Temperature,Relative Effort,Total Work,Number of Runs,Uphill Time,Downhill Time,Other Time,Perceived Exertion,Type,Start Time,Weighted Average Power,Power Count,Prefer Perceived Exertion,Perceived Relative Effort,Commute,Total Weight Lifted,From Upload,Grade Adjusted Distance,Weather Observation Time,Weather Condition,Weather Temperature,Apparent Temperature,Dewpoint,Humidity,Weather Pressure,Wind Speed,Wind Gust,Wind Bearing,Precipitation Intensity,Sunrise Time,Sunset Time,Moon Phase,Bike,Gear,Precipitation Probability,Precipitation Type,Cloud Cover,Weather Visibility,UV Index,Weather Ozone,Jump Count,Total Grit,Average Flow,Flagged,Average Elapsed Speed,Dirt Distance,Newly Explored Distance,Newly Explored Dirt Distance,Activity Count,Total Steps,Carbon Saved,Pool Length,Training Load,Intensity,Average Grade Adjusted Pace,Timer Time,Total Cycles,Recovery,With Pet,Competition,Long Run,For a Cause,Media
3561668722,"4 Jun 2020, 06:58:42",Morning Jog,Run,Aim= <170bpm,2093,5.31,188.0,62,false,,ASICS GT-2000 7 Nottingham Runners,activities/3802838322.fit.gz,,,2093.0,2080.0,5309.2,6.0,2.553,69.0,68.9,24.3,78.0,42.2,0.0,,,,,,167.0,,,512.0,,,62.0,,,,,,4.0,,,,,0.0,23.0,0.0,,1.0,5465.9,,,,,,,,,,,,,,,,6323657.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
3576754587,"7 Jun 2020, 10:11:09",Found a 5k Loop,Run,"",1936,5.05,187.0,54,false,,ASICS GT-2000 7 Nottingham Runners,activities/3818738823.fit.gz,,,1936.0,1907.0,5051.5,5.1,2.649,66.1,64.0,25.5,78.6,49.2,0.0,,,,,,163.0,,,474.0,,,54.0,,,,,,5.0,,,,,0.0,34.0,0.0,,1.0,5264.8,1591523968.0,5.0,12.1,12.1,11.5,0.96,1004.9,3.3,6.6,329.0,0.1,1591501312.0,1591561728.0,0.57,,6323657.0,1.0,5.0,1.0,16093.0,3.0,365.8,,,,,,,,,,,,,,,,,,,,,,,""
3586367011,"9 Jun 2020, 06:15:07",Morning Run,Run,"",1891,5.11,190.0,60,false,,ASICS GT-2000 7 Nottingham Runners,activities/3828885090.fit.gz,,,1891.0,1884.0,5117.5,5.4,2.716,53.3,58.2,25.2,78.6,13.1,-0.1,,,,,,170.0,,,471.0,,,60.0,,,,,,5.0,,,,,0.0,34.0,0.0,,1.0,5218.8,1591682432.0,3.0,9.3,9.3,5.7,0.78,1020.8,1.0,1.0,176.0,0.0,1591674112.0,1591734528.0,0.64,,6323657.0,0.0,,0.98,16093.0,0.0,362.3,,,,,,,,,,,,,,,,,,,,,,,""
3601492070,"12 Jun 2020, 06:24:11",First 10k :D,Run,"",3874,10.03,192.0,153,false,,ASICS GT-2000 7 Nottingham Runners,activities/3844809205.fit.gz,,,3874.0,3735.0,10036.0,4.5,2.687,91.5,86.5,24.2,78.6,12.5,0.0,,,,,,176.0,,,965.0,,,153.0,,,,,,6.0,,,,,0.0,98.0,0.0,,1.0,10204.1,1591941632.0,3.0,13.2,13.2,12.9,0.98,1010.3,4.8,9.1,46.0,0.0,1591933184.0,1591993856.0,0.74,,6323657.0,0.0,,0.97,16093.0,1.0,354.1,,,,,,,,,,,,,,,,,,,,,,,media/780FCDB5-A911-4B2C-B78B-F4C2AA882E35.jpg|media/F51E1A7C-115E-406E-8240-76A8A6417D0D.jpg|media/E2028A1C-4102-40B6-949D-C2079965FC49.jpg
3612045421,"14 Jun 2020, 09:12:08",Forest n back,Run,"",1798,5.00,197.0,74,false,,ASICS GT-2000 7 Nottingham Runners,activities/3856056131.fit.gz,,,1798.0,1776.0,5002.5,6.5,2.817,35.9,34.4,24.2,41.8,50.0,0.0,,,,,,176.0,,,470.0,,,74.0,,,,,,7.0,,,,,0.0,56.0,0.0,,1.0,5101.6,1592125184.0,2.0,17.4,17.4,14.8,0.85,1014.5,3.7,5.3,62.0,0.0,1592105984.0,1592166784.0,0.8,,6323657.0,0.0,,0.8,16093.0,3.0,350.8,,,,,,,,,,,,,,,,,,,,,,,""
3627497414,"17 Jun 2020, 06:59:18",Morning Run,Run,,1813,5.01,192.0,56,false,,ASICS GT-2000 7 Nottingham Runners,activities/3872535281.fit.gz,,,1813.0,1786.0,5014.0,6.1,2.807,49.4,59.5,25.2,78.6,26.5,-0.2,,,,,,168.0,,,479.0,,,56.0,,,,,,,,,,,,,0.0,,1.0,5092.7,1592373632.0,2.0,12.8,12.8,12.8,1.0,1013.8,2.5,3.3,32.0,0.0,1592365184.0,1592425984.0,0.89,,6323657.0,0.0,,0.86,6420.0,1.0,355.7,,,,,,,,,,,,,,,,,,,,,,,""
3644126109,"20 Jun 2020, 13:43:55",Afternoon Run,Run,Hit some invisible wall 👎,2072,5.05,184.0,45,false,,ASICS GT-2000 7 Nottingham Runners,activities/3890351617.fit.gz,,,2072.0,2065.0,5058.8,5.1,2.45,50.0,58.4,25.2,78.6,14.8,-0.2,,,,,,160.0,,,464.0,,,45.0,,,,,,,,,,,0.0,,0.0,,1.0,5148.1,1592658048.0,2.0,19.2,19.2,14.6,0.75,1017.5,4.6,5.9,193.0,0.0,1592624384.0,1592685312.0,0.99,,6323657.0,0.0,,0.53,13538.0,5.0,344.7,,,,,,,,,,,,,,,,,,,,,,,""
3672877117,"26 Jun 2020, 08:11:25",The 2 Club Run,Run,"",1849,5.00,192.0,65,false,,ASICS GT-2000 7 Nottingham Runners,activities/3921554878.fit.gz,,,1849.0,1816.0,5001.3,6.2,2.754,42.0,36.4,23.5,48.1,21.0,0.1,,,,,,173.0,,,484.0,,,65.0,,,,,,6.0,,,,,0.0,47.0,0.0,,1.0,5084.0,1593158400.0,3.0,20.0,20.0,15.9,0.77,1008.8,1.9,2.8,116.0,0.0,1593142912.0,1593203712.0,0.2,,6323657.0,0.0,,0.98,16093.0,2.0,307.3,,,,,,,,,,,,,,,,,,,,,,,""
3687050161,"29 Jun 2020, 06:55:41",Morning Jog 🐢 ,Run,"",2103,5.19,180.0,42,false,,ASICS GT-2000 7 Nottingham Runners,activities/3937060048.fit.gz,,,2103.0,2083.0,5190.3,4.5,2.492,62.3,61.5,25.2,78.6,23.8,0.0,,,,,,157.0,,,482.0,,,42.0,,,,,,5.0,,,,,0.0,37.0,0.0,,1.0,5315.8,1593410432.0,3.0,12.6,12.6,10.3,0.86,1004.5,9.1,14.9,233.0,0.0,1593402240.0,1593462912.0,0.31,,6323657.0,0.0,,1.0,16093.0,0.0,341.2,,,,,,,,,,,,,,,,,,,,,,,""
3697275043,"1 Jul 2020, 11:07:32",Lunch Run,Run,,2015,5.06,189.0,51,false,,ASICS GT-2000 7 Nottingham Runners,activities/3948247605.fit.gz,,,2015.0,1930.0,5060.7,4.8,2.622,57.2,57.8,24.3,50.1,37.8,0.0,,,,,,162.0,,,480.0,,,51.0,,,,,,,,,,,,,0.0,,1.0,5220.2,1593601152.0,3.0,16.8,16.9,15.4,0.92,1003.4,3.7,4.6,248.0,0.0,1593575040.0,1593635712.0,0.38,,6323657.0,0.0,,0.96,16093.0,4.0,346.0,,,,,,,,,,,,,,,,,,,,,,,""
3711356108,"4 Jul 2020, 10:02:27",WeyBridge n Back,Run,"",1919,5.55,195.0,98,false,,ASICS GT-2000 7 Nottingham Runners,activities/3963518734.fit.gz,,,1919.0,1919.0,5553.2,5.4,2.894,6.3,6.3,9.2,15.7,3.2,0.0,,,,,,182.0,,,535.0,,,98.0,,,,,,9.0,,,,,0.0,95.0,0.0,,1.0,5560.4,1593856768.0,3.0,18.0,18.5,18.0,1.0,1011.1,5.8,11.7,242.0,0.0,1593834880.0,1593894144.0,0.49,,6323657.0,0.0,,1.0,16093.0,4.0,312.9,,,,,,,,,,,,,,,,,,,,,,,""
3721498057,"6 Jul 2020, 11:05:45",Lunch Run,Run,,1937,5.56,192.0,70,false,,ASICS GT-2000 7 Nottingham Runners,activities/3974603179.fit.gz,,,1937.0,1934.0,5562.9,4.6,2.876,6.3,6.3,9.2,15.7,2.8,0.0,,,,,,173.0,,,504.0,,,70.0,,,,,,,,,,,,,0.0,,1.0,5569.4,1594033152.0,2.0,17.2,17.2,8.0,0.55,1019.8,6.4,9.3,291.0,0.0,1594007680.0,1594066816.0,0.56,,6323657.0,0.0,,0.61,16093.0,5.0,355.9,,,,,,,,,,,,,,,,,,,,,,,""
3731207036,"8 Jul 2020, 11:00:49",Lunch Run,Run,,1815,5.01,186.0,57,false,,ASICS GT-2000 7 Nottingham Runners,activities/3985210712.fit.gz,,,1815.0,1793.0,5011.8,5.1,2.795,32.4,38.4,21.6,43.6,9.4,-0.1,,,,,,169.0,,,470.0,,,57.0,,,,,,,,,,,,,0.0,,1.0,5049.3,1594205952.0,3.0,14.7,14.7,12.0,0.84,1015.5,3.2,3.9,63.0,0.0,1594180224.0,1594240256.0,0.62,,6323657.0,0.0,,0.99,16093.0,4.0,328.8,,,,,,,,,,,,,,,,,,,,,,,""
